Lake Name,Date,Anuraeopsis fissa Gosse 1851,"Anuraeopsis navicula Rousselet, 1911",Ascomorpha ecaudas Perty 1850,Ascomorpha ovalis Bergendal 1892,Ascomorpha saltans Bartsch 1870,Asplanchna herricki De Guerne 1888,Asplanchna priodonta Gosse 1850,Cephalodella gibba Ehrbg. 1832,Collotheca mutabilis Hudson 1885,Collurella ucinata Muller 1773,Conochiloides dossaurius Hudson 1885,Conochilus unicornis Rousselet 1892,Encentrum species,Euchlanis pellucida Harring 1921,Filinia terminalis Platte 1886,Gastropus stylifer Imhoff 1891,Hexarthra mira Hudson 1871,Kellicottia bostonensis Rousselet 1892,Kellicottia longispina Kelicott 1879,Keratella cochlearis Gosse 1851,Keratella crassa Ahlstrom 1943,Keratella earlinae Ahlstrom 1943,Keratella hiemalis Carlin 1943,Keratella serrulata Rylov 1926,Keratella taurocephala Meyers 1938,Keratella tecta Gosse 1841,Lapdella sp,Lecane crepida  Harring 1914,Lecane flexilis Gosse 1886,Lecane luna Muller 1776,Lecane mira Murray 1913,Lecane mucronata Harring & Meyers 1926,Lecane species,Lecane tenuisetta  Harring 1914,lecane tudicola Harring & Meyers 1926,Manfredium eudactylotum Gosse 1886,Microcodon clavus,Monostyla closterocerca Schmarda 1895,Monostyla copeis Harring & Meyers 1926,Monostyla lunaris Ehrbg. 1882,Monostyla obtusa Murray 1913,Ploesoma truncatum Levander 1894,Polyarthra euryptera Wierzejski 1893,Polyarthra major Burckhardt 1900,Polyarthra remata Skorikov 1896,Polyarthra vulgaris Carlin 1943,remove,Synchaeta pectinata Ehrbg.  1892,Total Rotifers,Trichocerca cyclindrica Imhoff 1981,Trichocerca elongata Gosse 1886,Trichocerca insignis Herrick 1885,Trichocerca multicrinis Kelicott 1897,Trichocerca porcellus Gosse 1886,Trichocerca pusilla Jennings 1993,Trichocerca rousseleti Voight 1901,Trichocerca sp,"Trichotria tetractis tetractis (Ehrenberg, 1830) ",Unknown one toe
Big Moose,9/17/2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.27,0.00,0.00,0.51,0.00,0.00,0.00,3.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,4.86,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,7/16/2003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,1.54,0.00,0.00,0.00,0.00,0.00,0.00,16.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,0.00,0.00,8.83,0.00,0.00,27.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,9/5/2003,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.93,0.00,0.00,0.47,0.00,0.00,0.00,29.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,7.93,2.80,0.00,0.00,43.70,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00
Big Moose,7/7/2004,0.00,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,1.72,0.00,12.85,0.00,0.00,0.63,0.00,0.00,0.00,32.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.25,0.00,0.00,0.00,6.33,0.00,0.27,62.34,0.00,0.00,0.00,0.27,0.00,0.00,2.26,0.00,0.00,0.00
Big Moose,8/10/2004,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00,0.00,0.36,0.00,1.07,0.00,0.00,0.95,0.00,0.24,0.00,41.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.14,0.00,0.00,0.00,20.71,0.00,0.00,73.57,0.00,0.00,0.00,0.48,0.00,0.00,4.76,0.00,0.00,0.00
Big Moose,7/20/2005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,6.01,0.00,0.00,2.29,0.00,0.10,0.00,22.34,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.51,0.00,0.00,0.00,41.60,0.00,10.79,99.46,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.00,0.00,0.48
Big Moose,8/17/2005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.31,0.00,8.76,0.00,0.00,0.24,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,23.20,0.00,1.12,35.31,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.19
Big Moose,7/17/2006,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.13,0.00,2.75,0.50,0.00,0.38,0.00,1.13,0.00,23.88,0.00,0.00,6.50,0.00,1.38,0.00,45.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,23.25,0.00,2.00,114.28,0.00,0.00,0.00,0.63,0.00,0.00,0.63,0.00,0.00,0.00
Big Moose,8/16/2006,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,1.80,0.00,7.95,0.00,0.30,1.50,0.00,0.00,0.00,6.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.25,0.00,0.00,0.00,7.80,0.00,0.45,30.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,7/12/2007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.08,0.00,0.00,0.00,0.00,0.15,0.00,0.08,0.00,0.00,0.38,0.00,0.00,0.00,42.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15,0.00,0.00,0.00,1.88,0.86,0.38,49.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Big Moose,7/31/2007,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.07,0.00,0.00,0.00,0.00,0.20,0.00,0.22,0.02,0.17,0.07,0.00,0.00,0.00,6.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,2.04,0.56,0.00,9.99,0.00,0.00,0.00,0.03,0.00,0.00,0.03,0.00,0.00,0.00
